Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n280-k17.vrp,33708,33885,33756,33574,33924,33804,33833,33739,33775,33785,33833,33837,33871,33811,33572,33711,33710,33718,33693,33809,33775,33757,33746,33591,33762,33786,33803,33778,33737,33701,33624,33866,33822,33729,33809,33722,33715,33954,33837,33846,33725,33705,33817,33694,33755,33784,33796,33715,33740,33753
X-n284-k15.vrp,20431,20565,20523,20392,20389,20454,20389,20476,20445,20528,20373,20530,20500,20466,20471,20542,20343,20331,20339,20478,20549,20637,20522,20476,20500,20382,20516,20342,20454,20582,20559,20579,20553,20560,20429,20541,20406,20611,20483,20491,20552,20556,20505,20467,20397,20572,20407,20340,20472,20373
X-n289-k60.vrp,96087,95980,96114,95771,95874,95951,95876,96053,96171,95786,95993,96008,95873,95813,96053,96261,95930,96012,95906,96136,95973,95851,95751,95749,95947,95883,96040,95672,95919,95926,95824,95606,96134,95798,96163,95932,95988,96261,96136,95874,95997,95950,95804,96327,95893,96319,96051,95831,96075,95950
X-n294-k50.vrp,47417,47451,47375,47414,47517,47474,47429,47556,47364,47464,47259,47572,47384,47412,47452,47549,47514,47423,47469,47443,47424,47398,47430,47429,47400,47583,47371,47576,47392,47364,47461,47487,47425,47508,47525,47418,47361,47254,47293,47367,47385,47413,47371,47469,47412,47510,47572,47556,47499,47476
X-n298-k31.vrp,34318,34335,34425,34611,34539,34394,34596,34365,34524,34374,34368,34367,34375,34431,34376,34316,34669,34447,34335,34546,34605,34428,34539,34406,34360,34601,34483,34393,34336,34387,34621,34280,34431,34383,34484,34503,34293,34525,34469,34427,34539,34411,34371,34312,34535,34490,34538,34327,34398,34367
X-n303-k21.vrp,21860,21960,21917,21919,21830,21876,21903,22023,21827,21967,21844,21886,21909,21847,21821,21846,21893,21969,21961,21792,21901,21911,21859,21995,21885,21845,21799,21927,21956,21881,21942,21842,21890,21926,21813,21889,21915,21893,21878,21904,21927,21902,21851,21912,21888,21965,21842,21837,21886,21973
X-n308-k13.vrp,26018,26072,25951,25989,26006,26034,26060,26021,25987,25970,25946,25983,26019,26094,26123,25950,26024,26130,25998,26021,25933,25943,26088,25926,25967,25956,25938,26000,26004,26168,26041,26020,26047,26078,26030,26041,26107,25991,25939,25955,26002,25997,26080,25998,25996,26004,25974,26067,26142,25986
X-n313-k71.vrp,94544,94987,95075,94712,94781,94597,94738,94525,94754,94472,94581,94878,94601,94572,94848,94931,94836,94747,94749,94579,94902,94507,94700,94666,94538,94635,94560,94511,94753,94616,94815,94553,94707,94646,94689,94659,94710,94741,94458,94656,94589,94572,95144,94491,94881,94999,94493,94749,94851,94555
X-n317-k53.vrp,78414,78455,78441,78435,78470,78475,78396,78418,78419,78484,78447,78448,78404,78447,78466,78421,78407,78423,78720,78462,78429,78459,78483,78415,78409,78457,78437,78388,78375,78389,78445,78386,78430,78417,78461,78402,78485,78467,78412,78470,78461,78452,78406,78439,78442,78448,78444,78436,78418,78406
X-n322-k28.vrp,29907,30138,30185,30015,30020,30038,29986,29994,30044,30021,30075,30196,30113,30056,30076,30042,30073,30124,30008,29998,30092,30130,30111,29919,30077,30048,30093,30044,30258,30037,30099,30122,30107,30055,30008,30113,30018,30118,30021,30052,30169,30165,30146,30130,30098,30154,30055,30055,30070,30068
X-n327-k20.vrp,27826,27895,27808,27753,27701,27823,27752,27774,27742,27718,27749,27771,27729,27773,27763,27889,27882,27702,27758,27856,27753,27812,27721,27592,27854,27702,27719,27819,27799,27789,27732,27792,27783,27734,27895,27811,27853,27899,27748,27925,27716,27879,27717,27844,27738,27791,27809,27948,27712,27934
X-n331-k15.vrp,31279,31203,31217,31206,31225,31232,31139,31152,31199,31199,31484,31201,31219,31237,31232,31196,31214,31229,31293,31276,31208,31283,31222,31189,31236,31322,31159,31200,31246,31234,31298,31271,31178,31229,31225,31240,31356,31231,31278,31210,31122,31278,31215,31159,31211,31326,31244,31334,31273,31190
X-n336-k84.vrp,140136,140256,140275,139904,140140,140332,139880,140340,140252,140148,140170,140021,140130,139982,140188,140382,140388,140119,140292,140022,140269,140087,140014,140207,140229,140125,140506,140530,139898,140310,140215,140396,140337,140296,140326,140188,140147,140335,140292,140063,140484,140484,140203,140406,140630,139976,140318,140162,140345,140257
X-n344-k43.vrp,42166,42234,42318,42411,42443,42373,42267,42345,42380,42516,42368,42418,42464,42377,42519,42453,42470,42374,42294,42210,42516,42453,42507,42438,42292,42295,42330,42435,42485,42399,42229,42351,42389,42340,42373,42358,42461,42538,42445,42281,42382,42525,42324,42426,42467,42317,42350,42408,42241,42497
X-n351-k40.vrp,26119,26140,26262,26098,26134,26218,26120,26220,26056,26188,26157,26028,26120,26216,26246,26105,26227,26184,26227,26060,26229,26347,26137,26085,26097,26051,26234,26146,26118,26157,26094,26211,26121,26124,26192,26150,26135,26156,26205,26216,26226,26090,26039,26048,26122,26248,26202,26202,26128,25968
X-n359-k29.vrp,51867,51906,51765,51921,51905,51858,51930,51838,51936,52070,52060,52009,51961,51945,51805,51791,51833,51955,51889,51868,51923,51925,51798,51947,52088,51802,51915,51749,51902,51836,51891,51825,51809,51759,51895,51951,51812,52052,51852,51948,51831,51942,51796,51881,51934,51873,51993,51821,52007,51958
X-n367-k17.vrp,22934,23002,23001,22926,22934,22944,22909,22963,22933,22976,22973,23000,22976,22958,22981,22964,23009,22974,23140,22965,22984,23075,22958,22953,22935,23051,22985,22962,22908,22939,22937,23073,22959,23124,23003,22978,23011,22958,22955,22926,22961,23014,23009,22914,22948,22942,22951,22940,22865,22960
X-n376-k94.vrp,147886,147940,147967,147877,147769,147989,147813,147840,148022,147848,147896,148043,147891,147833,147894,147851,147969,147936,147955,147875,147943,147968,147851,147931,148075,147782,147940,147911,147865,148010,147883,147890,147749,147862,147852,147882,147957,148018,148036,147903,147821,147933,147750,147830,147919,147871,147988,147866,148057,147950
X-n384-k52.vrp,66551,66358,66523,66238,66508,66406,66327,66413,66533,66636,66399,66537,66332,66498,66502,66491,66640,66596,66521,66445,66448,66462,66282,66318,66525,66689,66695,66460,66675,66397,66728,66372,66410,66574,66475,66281,66504,66294,66372,66590,66412,66411,66537,66347,66541,66358,66559,66651,66397,66710
X-n393-k38.vrp,38427,38517,38526,38505,38561,38586,38398,38396,38649,38435,38675,38506,38441,38495,38566,38504,38628,38636,38561,38428,38535,38463,38591,38503,38562,38609,38429,38435,38564,38566,38592,38488,38473,38649,38591,38597,38554,38405,38482,38495,38572,38500,38477,38497,38431,38478,38475,38468,38532,38469
