Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n449-k29.vrp,56411,56385,56398,56302,56370,56379,56412,56380,56332,56189,56426,56345,56614,56587,56377,56494,56391,56131,56424,56591,56413,56628,56313,56067,56423,56222,56500,56203,56575,56391,56376,56391,56243,56483,56551,56354,56249,56194,56259,56291,56350,56317,56210,56508,56452,56468,56436,56256,56448,56348
X-n459-k26.vrp,24681,24848,24707,24791,24533,24838,24724,24870,24750,24691,24597,24813,24840,24866,24713,24662,24692,24733,24798,24962,24792,24737,24768,24694,24789,24830,24653,24728,24863,24741,24695,24674,24789,24942,24794,24765,24866,24795,24923,24825,24745,24719,24878,24855,24736,24746,24740,24813,24952,24911
X-n469-k138.vrp,225834,226042,225854,226216,226283,225631,226364,226245,225991,226059,226607,226860,225675,226901,225855,225588,226375,226364,226400,227184,226713,225919,226607,226291,225714,226206,226556,227280,226283,226257,227548,226283,226567,226487,225860,226081,226783,226200,226603,225559,226572,226052,226087,226439,225328,226125,227562,226527,226380,225584
X-n480-k70.vrp,90272,90254,90331,90115,90488,90153,90309,90109,90800,90421,90240,90357,90373,90516,90712,90581,90335,90441,90100,90560,90319,90251,90485,90203,90641,90334,90570,90318,90143,90159,90511,90219,90388,90412,90425,90420,90400,90275,90466,90336,90257,90545,90240,90317,90226,90297,90328,90352,90209,90111
X-n491-k59.vrp,67537,67702,67610,67482,67424,67689,67711,67562,67840,67524,67655,67622,67342,67342,67280,67508,67891,67805,67549,67637,67802,67569,67495,67645,67895,67805,67712,67451,67572,67735,67733,67302,67907,67688,67588,67394,67575,67626,67586,67691,67880,67744,67572,67440,67539,67780,67598,67812,67510,67605
X-n502-k39.vrp,69400,69401,69389,69435,69401,69566,69413,69414,69427,69372,69461,69333,69406,69409,69452,69447,69497,69462,69391,69370,69521,69513,69374,69429,69402,69471,69408,69417,69444,69388,69445,69348,69363,69424,69451,69406,69414,69326,69450,69354,69409,69548,69406,69396,69385,69377,69365,69398,69452,69414
X-n513-k21.vrp,24469,24678,24398,24577,24427,24608,24440,24561,24642,24575,24703,24594,24643,24587,24705,24673,24607,24691,24583,24622,24638,24564,24501,24620,24676,24657,24571,24487,24492,24609,24579,24533,24662,24488,24644,24508,24588,24581,24522,24547,24556,24428,24625,24545,24598,24657,24565,24581,24518,24663
X-n524-k153.vrp,156537,156281,156158,157363,155968,156379,156294,156088,156156,156455,156456,156319,156842,156384,156387,156350,155638,156124,155933,156369,156710,156616,156108,156191,155914,156185,156216,156574,156283,155466,156045,156222,155989,155831,156523,155986,157217,156210,156202,156482,156607,156049,155747,156100,156772,156282,156219,156153,156513,156265
X-n536-k96.vrp,96393,96712,96176,96206,96339,96526,96297,96114,96375,96557,96413,96342,96229,96304,96518,96248,96251,96364,96258,96318,96444,96094,96343,96361,96271,96563,96237,96561,96291,96493,96088,96275,96053,96142,96177,96228,96442,96630,95989,96074,96198,96386,96268,96219,96615,96115,96252,96210,96093,96207
X-n548-k50.vrp,87141,87322,87304,87148,87205,87461,87140,87154,87362,87223,87060,87365,87322,87261,87026,87328,87395,87206,87211,87299,87114,87271,87136,87252,87307,87436,87303,87250,87407,87447,87142,87210,87086,87368,87273,87322,87190,87059,87411,87300,87145,87296,87284,87122,87228,87194,87206,87297,87341,87183
